,Labels,Decoded
303,brand_title_259,brand_title_TBS
304,brand_title_260,brand_title_TEX
305,brand_title_261,brand_title_Tamaris
306,brand_title_262,brand_title_Ted Lapidus
307,brand_title_263,brand_title_Teddy Smith
308,brand_title_264,brand_title_Tenth
309,brand_title_265,brand_title_Tezenis
310,brand_title_266,brand_title_The Kooples
311,brand_title_267,brand_title_The North Face
312,brand_title_268,brand_title_The Sting
313,brand_title_269,brand_title_Thierry Mugler
314,brand_title_270,brand_title_Timberland
315,brand_title_271,brand_title_Tissaia
316,brand_title_272,brand_title_Tod's
317,brand_title_273,brand_title_Tommy Hilfiger
318,brand_title_274,brand_title_Tommy Jeans
319,brand_title_275,brand_title_Top Vintage
320,brand_title_276,brand_title_U Collection
321,brand_title_277,brand_title_U.S. Polo Assn.
322,brand_title_278,brand_title_US.Marshall
323,brand_title_279,brand_title_Under Armour
324,brand_title_280,brand_title_Uniqlo
325,brand_title_281,brand_title_Uomo
326,brand_title_282,brand_title_V2
327,brand_title_283,brand_title_Valentino
328,brand_title_284,brand_title_Vans
329,brand_title_285,brand_title_Veja
330,brand_title_286,brand_title_Vera Pelle
331,brand_title_287,brand_title_Vero Moda
332,brand_title_288,brand_title_Vince Otto
333,brand_title_289,brand_title_Vintage
334,brand_title_290,brand_title_Weekend Max Mara
335,brand_title_291,brand_title_Well
336,brand_title_292,brand_title_Women Only
337,brand_title_293,brand_title_Würth
338,brand_title_294,brand_title_XQXAYJR
339,brand_title_295,brand_title_Y-3
340,brand_title_296,brand_title_Yeezy
341,brand_title_297,brand_title_Zalando
342,brand_title_298,brand_title_Zara
343,brand_title_299,brand_title_Zara Man
344,brand_title_300,brand_title_Zeeman
345,brand_title_301,brand_title_Zumba
346,brand_title_302,brand_title_adidas
347,brand_title_303,brand_title_aucune
348,brand_title_304,brand_title_bapesta
349,brand_title_305,brand_title_belle cerise
350,brand_title_306,brand_title_bruschi
351,brand_title_307,brand_title_callaghan
352,brand_title_308,brand_title_de simon
353,brand_title_309,brand_title_droimp
354,brand_title_310,brand_title_dsfkopk
355,brand_title_311,brand_title_jordan1
356,brand_title_312,brand_title_lightning
357,brand_title_313,brand_title_luanvi
358,brand_title_314,brand_title_nessuno
359,brand_title_315,brand_title_nikkoko
360,brand_title_316,brand_title_no brand
361,brand_title_317,brand_title_october fest
362,brand_title_318,brand_title_old sport
363,brand_title_319,brand_title_queensway
364,brand_title_320,brand_title_sab.tattoo
365,brand_title_321,brand_title_sans marque
366,brand_title_322,brand_title_sin marca
367,brand_title_323,brand_title_tivibi
368,brand_title_324,brand_title_underground
369,catalog_id_0,
370,catalog_id_1,
371,catalog_id_2,
